id,Група,Задача,Оцінка (год),Оцінка (год) факт,Результат / Критерій завершення,Дата початку спринта,Дата завершення спринта
1.1,Розробка,0. Розробка ядра модуля zkbiotime_connector (Backend),44,,"Реалізовано двосторонній конектор, методи API валідовані, логи пишуться.",,
1.2,Розробка,1. Інтеграція SMS-шлюзу Turbo SMS,3,,"SMS успішно відправляються, статуси доставки видно в Odoo, шаблони налаштовані.",,
1.3,Розробка,2. Переклад модуля Appointments на українську,4,,"Інтерфейс повністю перекладено, верстка адаптована під кирилицю.",,
1.4,Розробка,3. Розширення логіки: Вибір кабінету (Extra Resources),10,,"Адміністратор може вручну обирати кабінет, працює логіка конфліктів (Спеціаліст АБО Кабінет).",,
1.5,Розробка,4. Управління шафками (Interactive POS Style),28,,"Реалізовано візуальну карту шафок з Drag&Drop, статус шафок (вільно/зайнято) змінюється в реалтаймі.",,
1.6,Розробка,5. Авторизація та реєстрація за номером телефону,27,,"Клієнти заходять через OTP SMS, захист від брутфорсу працює, авто-реєстрація нових юзерів.",,
1.7,Розробка,6. Портал клієнта: перегляд балансів та історії,26,,"Клієнт бачить свої бонуси, депозити та історію візитів у кабінеті (Read Only).",,
1.8,Розробка,7. Похвилинна тарифікація (Баня/Зал),31,,"Розрахунок вартості базується на реальному часі з турнікетів, штрафи та овертайми рахуються автоматично.",,
1.9,Розробка,8. Налаштування та конфігурація ПРРО Checkbox,4,,Каси фіскалізують чеки.,,
1.10,Аналіз та ТЗ,9. ТЗ: Інтеграція Odoo з 1С 7.7,16,,"ТЗ затверджено бухгалтерією, описано карту об'єктів та формати обміну.",,
1.11,Аналіз та ТЗ,10. ТЗ: Управління фіскальними атрибутами товарів,4,,"ТЗ містить перелік полів (УКТЗЕД, податкові групи) та правила заповнення.",,
1.12,Аналіз та ТЗ,11. ТЗ: Міграція даних (B52/1C/KeyCRM),12,,Розроблено правила маппінгу та очищення даних для міграції.,,
Всього:,,,209,0,,05.12.2025,31.12.2025
